"Taxonomy","k","p","c","o","f","g","s","RE-HU_8_SCAT","NE-FL_NA_1_SCAT","PE-PO_11_SCAT","PE-PO_11_R_SCAT","PE-PO_26_SCAT","RE-HU_8_SWAB","NE-FL_NA_1_SWAB","PE-PO_11_SWAB","PE-PO_11_R_SWAB","PE-PO_26_SWAB"
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__*Koribacter;s__sp1706","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","*Koribacter","sp1706",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__*Koribacter;s__sp1710","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","*Koribacter","sp1710",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__*Koribacter;s__sp1710-sp1717","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","*Koribacter","sp1710-sp1717",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__*Koribacter;s__sp1711","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","*Koribacter","sp1711",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__*Koribacter;s__sp1712","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","*Koribacter","sp1712",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__*Koribacter;s__sp1717","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","*Koribacter","sp1717",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__*Koribacter;s__versatilis","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","*Koribacter","versatilis",0,0,0,0,0,11,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Acidicapsa-Acidobacterium;s__sp1682-sp1691","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","Acidicapsa-Acidobacterium","sp1682-sp1691",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Acidicapsa;s__borealis-sp1679","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","Acidicapsa","borealis-sp1679",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Acidobacterium;s__capsulatum-sp1690-sp1698","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","Acidobacterium","capsulatum-sp1690-sp1698",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Acidobacterium;s__sp1686-sp1688","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","Acidobacterium","sp1686-sp1688",0,0,0,0,0,12,0,0,88,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Acidobacterium;s__sp1687","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","Acidobacterium","sp1687",0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Acidobacterium;s__sp1688","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","NA","Acidobacterium","sp1688",0,0,0,0,0,0,0,0,0,0
