Variable,Definition
Location,Property location sample was collected at. ABRP = Apalachicola Bluffs and Ravines Preserve TY = Torreya State Park
Date,Date sample was taken
Year,Year sample was taken
Species,"Small mammal species abbreviation. PE-PO = Peromyscus polionotus, RE-HU = Reithrodontomys humulis, NE-FL = Neotoma floridana"
Ear_Tag_ID,Ear tag number. NA = no ear tag
Sample_Label,Unique label of the species and microbiome sample type
Sample_Type,"SCAT = Scat sample collected, representative of the gut microbiome. SWAB = Swab of the the flanks and ventral sides of individuals using dual-tipped sterile rayon BBL CultureSwabs, representative of the skin microbiome"
Scat_Sample,"Y = Scat sample, N = Not a scat sample"
Swab_Sample,"Y = Swab sample, N = Not a swab sample"
pair_label,Unique number label of the individual species from that capture day
