Location,Date,Year,Species,Ear_Tag_ID,Sample_Label,Sample_Type,Scat_Sample,Swab_Sample,pair_label
ABRP,8/13/2024,2024,RE-HU,8,RE-HU_8_SCAT,SCAT,Y,N,1
TY,8/30/2024,2024,NE-FL,NA,NE-FL_NA_1_SCAT,SCAT,Y,N,2
ABRP,9/3/2024,2024,PE-PO,11,PE-PO_11_SCAT,SCAT,Y,N,3
ABRP,9/4/2024,2024,PE-PO,11,PE-PO_11_R_SCAT,SCAT,Y,N,4
TY,9/10/2024,2024,PE-PO,26,PE-PO_26_SCAT,SCAT,Y,N,5
ABRP,8/13/2024,2024,RE-HU,8,RE-HU_8_SWAB,SWAB,N,Y,1
TY,8/30/2024,2024,NE-FL,NA,NE-FL_NA_1_SWAB,SWAB,N,Y,2
ABRP,9/3/2024,2024,PE-PO,11,PE-PO_11_SWAB,SWAB,N,Y,3
ABRP,9/4/2024,2024,PE-PO,11,PE-PO_11_R_SWAB,SWAB,N,Y,4
TY,9/10/2024,2024,PE-PO,26,PE-PO_26_SWAB,SWAB,N,Y,5
